place,mood,event,acitivity,meal ,study situation,food
restaurant,happy,word cup,watching sport,mising breakfast,expert system,pizza
home,happy,word cup,watching sport,mising breakfast,final,junk food
office,happy,word cup,watching sport,mising breakfast,quiez,pasta
home,happy,word cup,watching sport,having brunch,expert system,pop corn
restaurant,happy,word cup,watching sport,having brunch,final,burgur
restaurant,happy,word cup,watching sport,having brunch,quiez,lasania
office,happy,word cup,watching sport,too much coffee,expert system,snack
home,happy,word cup,watching sport,too much coffee,final,hot dog
home,sad,book fair,exercise,mising breakfast,expert system,loobia polo
home,hyper,book fair,exercise,too much coffee,final,makaroni
office,anxious,book fair,exercise,having brunch,quiez,coffee
restaurant,bored,book fair,football,mising breakfast,final,gheymeh
restaurant,happy,piano resital,exercise,too much coffee,quiez,steak
home,anxious,piano resital,football,having brunch,expert system,mirzaghasemi
home,hyper,book fair,watching sport,mising breakfast,final,kalampolo
restaurant,sad,piano resital,football,too much coffee,quiez,chicken 
restaurant,bored,word cup,watching sport,mising breakfast,expert system,kebbab
home,happy,book fair,football,having brunch,expert system,bandari
office,hyper,piano resital,exercise,too much coffee,final,cheese cake
office,anxious,word cup,football,having brunch,quiez,nuts
restaurant,hyper,word cup,exercise,mising breakfast,final,dizi
restaurant,sad,book fair,football,mising breakfast,quiez,fish
office,anxious,word cup,watching sport,having brunch,expert system,chocolate
office,bored,piano resital,exercise,having brunch,quiez,salad
